"지역","2012등록정신장애인","2012등록정신장애인_비율","2013등록정신장애인","2013등록정신장애인_비율","2014등록정신장애인","2014등록정신장애인_비율","2015등록정신장애인","2015등록정신장애인_비율","2016등록정신장애인","2016등록정신장애인_비율","2017등록정신장애인","2017등록정신장애인_비율","2018등록정신장애인","2018등록정신장애인_비율","2019등록정신장애인","2019등록정신장애인_비율","2020등록정신장애인","2020등록정신장애인_비율","2021등록정신장애인","2021등록정신장애인_비율"
"강남구",712,4,733,4,787,4,808,5,839,5,877,5,857,5,845,5,834,5,840,5
"강동구",537,2,534,2,549,3,574,3,561,3,568,3,566,3,594,3,638,3,640,3
"강북구",650,3,674,3,668,3,690,4,718,4,715,4,725,4,731,4,740,4,747,4
"강서구",1453,5,1490,5,1528,5,1572,5,1607,5,1627,5,1611,5,1589,5,1598,5,1614,5
"관악구",820,3,817,3,816,4,828,4,856,4,856,4,871,4,851,4,863,4,883,4
"광진구",487,3,493,3,491,3,514,4,515,4,521,4,536,4,521,4,513,4,530,4
"구로구",558,3,567,3,585,3,561,3,561,3,568,3,597,3,635,3,648,3,651,3
"금천구",387,3,390,3,389,3,396,3,401,3,412,3,411,3,438,3,431,3,433,3
"노원구",1309,4,1351,4,1388,5,1434,5,1453,5,1481,5,1495,5,1464,5,1496,5,1477,5
"도봉구",526,3,540,3,565,3,605,4,608,4,613,4,603,3,625,4,647,4,668,4
"동대문구",594,3,613,3,634,3,633,4,648,4,646,4,653,4,634,3,638,4,633,4
"동작구",496,3,499,3,502,3,519,3,526,3,522,3,517,3,521,3,526,3,523,3
"마포구",523,3,520,3,522,3,516,3,500,3,493,3,501,3,496,3,505,3,513,4
"서대문구",501,3,515,4,519,4,539,4,514,4,530,4,525,4,513,4,530,4,517,4
"서초구",323,3,345,3,336,3,338,3,340,3,337,3,350,3,365,3,358,3,347,3
"성동구",408,3,412,3,417,3,427,3,439,3,456,3,449,3,436,3,423,3,407,3
"성북구",672,3,673,3,660,3,639,3,638,3,640,3,634,3,654,3,647,3,647,3
"송파구",580,2,570,2,592,3,598,3,617,3,635,3,646,3,653,3,631,3,658,3
"양천구",585,3,594,3,583,3,593,3,604,3,606,3,621,3,616,3,615,3,624,3
"영등포구",460,2,476,3,450,3,447,3,451,3,445,3,443,3,447,3,457,3,474,3
"용산구",312,3,302,3,305,3,301,3,303,3,297,3,291,3,298,3,292,3,282,3
"은평구",1156,5,1134,5,1126,5,1104,5,1119,5,1128,5,1125,5,1150,5,1162,5,1167,5
"종로구",274,3,254,3,254,4,260,4,261,4,263,4,260,4,271,4,258,4,262,4
"중구",211,3,218,3,227,3,235,4,232,4,234,4,218,3,220,3,218,3,207,3
"중랑구",842,4,823,4,835,4,812,4,828,4,856,4,860,4,868,4,857,4,856,4
