"지역","2009...2","2009...3","2009...4"
"지역","전체","남성","여성"
"종로구","9.8000000000000007","10.5","9.4000000000000004"
"중구","11.6","7.2000000000000002","14.300000000000001"
"용산구","15.6","16.800000000000001","15.1"
"성동구","9.4000000000000004","-","15.199999999999999"
"광진구","15.5","20.5","13.300000000000001"
"동대문구","10.4","3.3999999999999999","13.6"
"중랑구","11.1","14.199999999999999","9.6999999999999993"
"성북구","18","25.600000000000001","12.6"
"강북구","9.6999999999999993","-","13.300000000000001"
"도봉구","13.5","6.2000000000000002","16.600000000000001"
"노원구","21.300000000000001","34.5","16.300000000000001"
"은평구","5.5999999999999996","7.5999999999999996","3.7000000000000002"
"서대문구","9.3000000000000007","11.300000000000001","7.9000000000000004"
"마포구","12.5","12.699999999999999","12.4"
"양천구","21.300000000000001","18.899999999999999","23"
"강서구","5.7999999999999998","6.5","5.5"
"구로구","7","4.0999999999999996","8.5999999999999996"
"금천구","17.199999999999999","9.1999999999999993","20.699999999999999"
"영등포구","10.800000000000001","-","14.800000000000001"
"동작구","12.5","12.300000000000001","12.6"
"관악구","10.300000000000001","-","15.6"
"서초구","24","10.300000000000001","28.399999999999999"
"강남구","23.199999999999999","44.299999999999997","15.9"
"송파구","10","7.2999999999999998","11.699999999999999"
"강동구","8.5","7.9000000000000004","8.8000000000000007"
